category,group_code,group_label,division,division_label,annual_spending_euros_2017,budget_share,division_rate,contribution_points
type_de_menage,2,Familles monoparentales,12,Autres biens et services,3477,0.14543857447609487,2.838363811631961,0.4128075866082875
type_de_menage,3,Couples sans enfant,01,Alimentation et boissons non alcoolisées,5337,0.17352711666016388,1.1523941982912733,0.19997164248538582
type_de_menage,3,Couples sans enfant,02,Boissons alcoolisées et tabac,900,0.02926258291065158,1.8773716796484985,0.05493674442982341
type_de_menage,3,Couples sans enfant,03,Habillement et chaussures,1334,0.04337365066978801,-1.479379876380582,-0.06416610596604554
type_de_menage,3,Couples sans enfant,04,"Logement, eau et énergie",4269,0.13880218493952398,3.576437587657799,0.4964173514667429
type_de_menage,3,Couples sans enfant,05,Meubles et entretien du foyer,2059,0.06694628690336844,-0.019932230416597196,-0.001334388816093563
type_de_menage,3,Couples sans enfant,06,Santé,586,0.019053192872935363,-0.5128720836685363,-0.009771850729280865
type_de_menage,3,Couples sans enfant,07,Transports,5513,0.17924957731824684,6.9813176007866184,1.2513982290654384
type_de_menage,3,Couples sans enfant,08,Information et communication,733,0.02383274808167512,4.937399030694678,0.11767178727725318
type_de_menage,3,Couples sans enfant,09,Loisirs et culture,2939,0.09555859019378332,-0.4483867823374621,-0.042847208781694665
type_de_menage,3,Couples sans enfant,10,Enseignement,69,0.002243464689816621,4.728440919586374,0.010608090240976063
type_de_menage,3,Couples sans enfant,11,Restauration et hébergement,1934,0.06288203927688907,1.8669446550416913,0.11739728712610974
type_de_menage,3,Couples sans enfant,12,Autres biens et services,5083,0.16526856548315777,2.838363811631961,0.469092315467722
type_de_menage,4,Couples avec enfants,01,Alimentation et boissons non alcoolisées,6161,0.1602215691883598,1.1523941982912733,0.18463840677378968
type_de_menage,4,Couples avec enfants,02,Boissons alcoolisées et tabac,956,0.024861519257275116,1.8773716796484985,0.046674312166644076
type_de_menage,4,Couples avec enfants,03,Habillement et chaussures,2213,0.05755077627233246,-1.479379876380582,-0.08513946028736974
type_de_menage,4,Couples avec enfants,04,"Logement, eau et énergie",4820,0.12534782721764232,3.576437587657799,0.4482986807924113
type_de_menage,4,Couples avec enfants,05,Meubles et entretien du foyer,2130,0.05539229708995397,-0.019932230416597196,-0.001104092028901569
type_de_menage,4,Couples avec enfants,06,Santé,679,0.01765792005825293,-0.5128720836685363,-0.009056254253528623
type_de_menage,4,Couples avec enfants,07,Transports,6839,0.17785348347333108,6.9813176007866184,1.2416516545335783
type_de_menage,4,Couples avec enfants,08,Information et communication,1015,0.026395859880893557,4.937399030694678,0.1303268929902764
type_de_menage,4,Couples avec enfants,09,Loisirs et culture,3629,0.0943749512391751,-0.4483867823374621,-0.0423164807193886
type_de_menage,4,Couples avec enfants,10,Enseignement,509,0.013236938600369282,4.728440919586374,0.0625900821280385
